iter	Passed	Remaining
455	845	1008
456	846	1005
457	847	1002
458	848	999
459	849	996
460	850	994
461	851	991
462	853	989
463	854	986
464	855	984
465	856	981
466	857	978
467	858	976
468	860	973
469	861	971
470	862	968
471	863	966
472	865	963
473	866	961
474	869	961
475	871	959
476	872	956
477	873	954
478	875	952
479	876	949
480	877	946
481	878	943
482	879	941
483	880	938
484	881	936
485	884	935
486	885	932
487	886	930
488	887	927
489	889	925
490	890	922
491	891	920
492	892	918
493	893	915
494	895	913
495	896	910
496	897	908
497	899	906
498	900	904
499	901	901
500	903	899
501	904	897
502	905	894
503	906	892
504	907	889
505	908	887
506	909	884
507	910	882
508	912	880
509	913	877
510	914	875
511	915	873
512	918	872
513	920	870
514	921	868
515	923	865
516	924	863
517	925	860
518	926	858
519	927	856
520	928	853
521	929	851
522	930	849
523	932	846
524	933	844
525	934	841
526	935	839
527	936	837
528	938	835
529	939	833
530	940	830
531	941	828
532	945	828
533	946	826
534	948	824
535	950	822
536	951	820
537	952	818
538	953	815
539	954	813
540	956	811
541	958	809
542	959	807
543	960	805
544	962	803
545	963	801
546	965	799
547	968	798
548	971	797
549	974	797
550	976	796
551	978	793
552	979	791
553	980	789
554	982	787
555	983	785
556	985	784
557	988	783
558	989	780
559	990	778
560	992	776
561	993	774
562	995	772
563	996	770
564	997	768
565	999	766
566	1000	764
567	1002	762
568	1004	760
569	1005	758
570	1007	756
571	1008	754
572	1011	753
573	1012	751
574	1014	749
575	1016	748
576	1018	746
577	1019	744
578	1020	742
579	1022	740
580	1023	738
581	1025	736
582	1026	734
583	1027	732
584	1029	730
585	1030	728
586	1032	726
587	1033	724
588	1034	722
589	1035	719
590	1037	717
591	1045	720
592	1047	719
593	1049	717
594	1051	715
595	1052	713
596	1053	711
597	1055	709
598	1056	707
599	1057	705
600	1059	703
601	1060	701
602	1062	699
603	1065	698
604	1067	696
605	1068	694
606	1069	692
607	1071	690
608	1072	688
609	1073	686
610	1076	685
611	1078	683
612	1079	681
613	1081	679
614	1082	677
615	1083	675
616	1084	673
617	1086	671
618	1087	669
619	1088	667
620	1091	666
621	1092	664
622	1093	662
623	1095	659
624	1096	657
625	1097	655
626	1098	653
627	1100	651
628	1101	649
629	1102	647
630	1103	645
631	1105	643
632	1106	641
633	1107	639
634	1109	637
635	1110	635
636	1111	633
637	1112	631
638	1139	643
639	1141	641
640	1142	639
641	1143	637
642	1144	635
643	1145	633
644	1146	631
645	1148	629
646	1149	626
647	1150	624
648	1151	623
649	1154	621
650	1155	619
651	1156	617
652	1157	615
653	1159	613
654	1160	611
655	1161	609
656	1162	606
657	1163	604
658	1165	602
659	1166	601
660	1169	599
661	1170	597
662	1171	595
663	1172	593
664	1173	591
665	1174	589
666	1175	586
667	1176	584
668	1177	582
669	1178	580
670	1179	578
671	1180	576
672	1181	574
673	1183	572
674	1184	570
675	1187	568
676	1188	567
677	1189	564
678	1190	562
679	1191	560
680	1192	558
681	1193	556
682	1194	554
683	1196	552
684	1198	551
685	1200	549
686	1201	547
687	1202	545
688	1203	543
689	1204	541
690	1205	539
691	1207	537
692	1208	535
693	1209	533
694	1210	531
695	1211	529
696	1213	527
697	1215	525
698	1216	523
699	1217	521
700	1218	519
701	1219	517
702	1220	515
703	1221	513
704	1222	511
705	1223	509
706	1225	507
707	1226	505
708	1228	504
709	1229	502
710	1230	500
711	1231	498
712	1232	496
713	1233	494
714	1234	492
715	1236	490
716	1237	488
717	1238	486
718	1239	484
719	1242	483
720	1243	481
721	1244	479
722	1245	477
723	1246	475
724	1247	473
725	1248	471
726	1248	468
727	1250	467
728	1251	465
729	1252	463
730	1253	461
731	1255	459
732	1257	457
733	1258	456
734	1260	454
735	1262	452
736	1264	451
737	1265	449
738	1266	447
739	1267	445
740	1269	443
741	1270	441
742	1271	439
743	1273	438
744	1274	436
745	1275	434
746	1276	432
747	1278	430
748	1279	428
749	1280	426
750	1282	425
751	1283	423
752	1284	421
753	1286	419
754	1287	417
755	1288	415
756	1290	414
757	1291	412
758	1292	410
759	1294	408
760	1295	406
761	1296	404
762	1297	403
763	1299	401
764	1301	399
765	1303	398
766	1304	396
767	1305	394
768	1307	392
769	1308	390
770	1309	389
771	1310	387
772	1312	385
773	1313	383
774	1314	381
775	1316	380
776	1317	378
777	1319	376
778	1321	374
779	1322	372
780	1323	371
781	1324	369
782	1326	367
783	1327	365
784	1329	364
785	1331	362
786	1332	360
787	1334	358
788	1335	357
789	1336	355
790	1338	353
791	1339	351
792	1340	350
793	1342	348
794	1344	346
795	1345	344
796	1346	343
797	1348	341
798	1349	339
799	1350	337
800	1351	335
801	1352	334
802	1354	332
803	1355	330
804	1356	328
805	1358	326
806	1360	325
807	1362	323
808	1363	321
809	1364	320
810	1365	318
811	1367	316
812	1368	314
813	1369	312
814	1370	311
815	1371	309
816	1372	307
817	1374	305
818	1376	304
819	1377	302
820	1378	300
821	1379	298
822	1381	297
823	1382	295
824	1383	293
825	1384	291
826	1385	289
827	1386	288
828	1388	286
829	1390	284
830	1391	282
831	1392	281
832	1393	279
833	1395	277
834	1396	275
835	1397	274
836	1398	272
837	1399	270
838	1400	268
839	1401	266
840	1402	265
841	1403	263
842	1404	261
843	1405	259
844	1406	258
845	1407	256
846	1408	254
847	1409	252
848	1410	250
849	1411	249
850	1412	247
851	1413	245
852	1414	243
853	1415	241
854	1416	240
855	1416	238
856	1418	236
857	1419	234
858	1420	233
859	1421	231
860	1422	229
861	1424	227
862	1425	226
863	1426	224
864	1427	222
865	1428	220
866	1429	219
867	1429	217
868	1430	215
869	1431	213
870	1433	212
871	1434	210
872	1435	208
873	1437	207
874	1438	205
875	1439	203
876	1440	202
877	1441	200
878	1442	198
879	1443	196
880	1444	195
881	1445	193
882	1446	191
883	1447	189
884	1449	188
885	1450	186
886	1451	184
887	1452	183
888	1453	181
889	1455	179
890	1456	178
891	1457	176
892	1459	174
893	1460	173
894	1461	171
895	1463	169
896	1464	168
897	1465	166
898	1467	164
899	1468	163
900	1469	161
901	1471	159
902	1472	158
903	1474	156
904	1476	155
905	1479	153
906	1480	151
907	1481	150
908	1483	148
909	1484	146
910	1485	145
911	1486	143
912	1488	141
913	1489	140
914	1490	138
915	1493	136
916	1517	137
917	1518	135
918	1519	133
919	1520	132
920	1522	130
921	1523	128
922	1524	127
923	1526	125
924	1527	123
925	1529	122
926	1530	120
927	1532	118
928	1533	117
929	1534	115
930	1536	113
931	1540	112
932	1542	110
933	1543	109
934	1544	107
935	1545	105
936	1546	103
937	1547	102
938	1548	100
939	1549	98
940	1551	97
941	1552	95
942	1555	93
943	1556	92
944	1557	90
945	1559	89
946	1560	87
947	1562	85
948	1564	84
949	1565	82
950	1566	80
951	1567	79
952	1570	77
953	1571	75
954	1572	74
955	1574	72
956	1575	70
957	1576	69
958	1577	67
959	1578	65
960	1579	64
961	1580	62
962	1581	60
963	1582	59
964	1584	57
965	1586	55
966	1588	54
967	1589	52
968	1590	50
969	1591	49
970	1592	47
971	1593	45
972	1594	44
973	1596	42
974	1597	40
975	1598	39
976	1600	37
977	1601	36
978	1603	34
979	1604	32
980	1605	31
981	1606	29
982	1607	27
983	1608	26
984	1609	24
985	1610	22
986	1612	21
987	1613	19
988	1615	17
989	1616	16
990	1617	14
991	1618	13
992	1619	11
993	1620	9
994	1621	8
995	1622	6
996	1623	4
997	1624	3
998	1625	1
999	1626	0
